Unnamed: 0,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 2 FÉVRIER 2022,22,TIRAGE «FORTUNE» N°709,7,36,52,14
1,MERCREDI 2 FÉVRIER 2022,3,TIRAGE «FORTUNE» N°709,73,85,63,54
2,MERCREDI 2 FÉVRIER 2022,58,« LUCKY TUESDAY » N°751,24,87,60,39
3,MERCREDI 2 FÉVRIER 2022,19,« LUCKY TUESDAY » N°751,43,85,36,30
4,MARDI 1 FÉVRIER 2022,82,« LUCKY TUESDAY » N°751,16,47,52,68
5,MARDI 1 FÉVRIER 2022,46,SIKA» N°161,31,37,41,68
6,MARDI 1 FÉVRIER 2022,40,SIKA» N°161,42,76,65,12
7,MARDI 1 FÉVRIER 2022,82,« EMERGENCE » N°301,47,88,80,71
8,MARDI 1 FÉVRIER 2022,11,« EMERGENCE » N°301,65,4,46,42
9,MARDI 1 FÉVRIER 2022,59,TIRAGE « LA MATINALE » N°180,34,48,32,27
10,MARDI 1 FÉVRIER 2022,57,« LA MATINALE » N°180,79,6,50,52
11,LUNDI 31 JANVIER 2022,40,TIRAGE «AKWABA» NUMEROS MACHINE N°161,9,66,1,55
0,MERCREDI 9 MARS 2022,63,TIRAGE «PREMIERE HEURE» N°185,21,42,12,28
1,MERCREDI 9 MARS 2022,70,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°185,73,30,76,6
2,MARDI 8 MARS 2022,46,TIRAGE « LUCKY TUESDAY » N°756,40,1,19,38
3,MARDI 8 MARS 2022,69,TIRAGE «SIKA» NUMEROS MACHINE N°166,79,85,10,9
4,MARDI 8 MARS 2022,53,TIRAGE «SIKA» N°166,37,20,35,63
5,MARDI 8 MARS 2022,61,TIRAGE « EMERGENCE » NUMEROS MACHINE N°306,68,47,16,42
6,MARDI 8 MARS 2022,36,TIRAGE « EMERGENCE » N°306,55,27,80,60
7,MARDI 8 MARS 2022,34,TIRAGE « LA MATINALE » NUMEROS MACHINE N°185,45,29,6,84
8,MARDI 8 MARS 2022,26,TIRAGE « LA MATINALE » N°185,66,43,50,42
9,LUNDI 7 MARS 2022,37,TIRAGE «SPECIAL DAYS OFF» NUMEROS MACHINE N°24,23,46,51,8
10,LUNDI 7 MARS 2022,50,TIRAGE «SPECIAL DAYS OFF» N°24,7,68,53,82
11,LUNDI 7 MARS 2022,58,TIRAGE «AKWABA» NUMEROS MACHINE N°166,23,16,25,11
0,MARDI 8 MARS 2022,36,TIRAGE « EMERGENCE » N°306,55,27,80,60
1,MARDI 8 MARS 2022,61,TIRAGE « EMERGENCE » NUMEROS MACHINE N°306,68,47,16,42
2,MARDI 8 MARS 2022,26,TIRAGE « LA MATINALE » N°185,66,43,50,42
3,MARDI 8 MARS 2022,34,TIRAGE « LA MATINALE » NUMEROS MACHINE N°185,45,29,6,84
4,LUNDI 7 MARS 2022,50,TIRAGE «SPECIAL DAYS OFF» N°24,7,68,53,82
5,LUNDI 7 MARS 2022,37,TIRAGE «SPECIAL DAYS OFF» NUMEROS MACHINE N°24,23,46,51,8
