,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 21 FÉVRIER 2022,87,TIRAGE «AKWABA» N°164,60,30,12,69
1,LUNDI 21 FÉVRIER 2022,11,TIRAGE «AKWABA» NUMEROS MACHINE N°164,65,18,23,54
2,LUNDI 21 FÉVRIER 2022,05,TIRAGE «ETOILE» N°303,77,52,65,61
3,LUNDI 21 FÉVRIER 2022,42,TIRAGE «ETOILE» NUMEROS MACHINE N°303,10,64,75,22
4,DIMANCHE 20 FÉVRIER 2022,11,TIRAGE «ESPOIR» N°200,27,34,17,75
5,DIMANCHE 20 FÉVRIER 2022,90,TIRAGE «ESPOIR» NUMEROS MACHINE N°200,09,89,52,41
6,DIMANCHE 20 FÉVRIER 2022,62,TIRAGE «AWALE» N°163,79,21,89,71
7,DIMANCHE 20 FÉVRIER 2022,13,TIRAGE «AWALE» NUMEROS MACHINE N°163,40,26,24,87
8,DIMANCHE 20 FÉVRIER 2022,51,TIRAGE «PRESTIGE» N°231,83,22,70,26
9,DIMANCHE 20 FÉVRIER 2022,04,TIRAGE «PRESTIGE» NUMEROS MACHINE N°231,89,38,07,24
10,DIMANCHE 20 FÉVRIER 2022,65,TIRAGE «BENEDICTION» N°183,07,89,01,59
11,DIMANCHE 20 FÉVRIER 2022,62,TIRAGE «BENEDICTION» NUMEROS MACHINE N°183,55,45,28,84
