Machine_no,game_type,First_number,No2,No3,No4,No5
709,FORTUNE,22,7,36,52,14
709,FORTUNE,3,73,85,63,54
751,LUCKY,58,24,87,60,39
751,LUCKY,19,43,85,36,30
751,LUCKY,82,16,47,52,68
161,SIKA,46,31,37,41,68
161,SIKA,40,42,76,65,12
301,EMERGENCE,82,47,88,80,71
301,EMERGENCE,11,65,4,46,42
180,MATINALE,59,34,48,32,27
180,MATINALE,57,79,6,50,52
161,AKWABA,40,9,66,1,55
185,PREMIERE,63,21,42,12,28
185,PREMIERE,70,73,30,76,6
756,LUCKY,46,40,1,19,38
166,SIKA,69,79,85,10,9
166,SIKA,53,37,20,35,63
306,EMERGENCE,61,68,47,16,42
306,EMERGENCE,36,55,27,80,60
185,MATINALE,34,45,29,6,84
185,MATINALE,26,66,43,50,42
24,AKWABA,37,23,46,51,8
24,EMERGENCE,50,7,68,53,82
166,EMERGENCE,58,23,16,25,11
306,MATINALE,36,55,27,80,60
306,MATINALE,61,68,47,16,42
185,AKWABA,26,66,43,50,42
185,AKWABA,34,45,29,6,84
24,ETOILE,50,7,68,53,82
24,ETOILE,37,23,46,51,8
166,REVEIL,40,53,22,15,81
166,REVEIL,58,23,16,25,11
304,SIKA,57,49,69,26,29
304,SIKA,46,31,81,5,20
185,EMERGENCE,56,86,22,58,64
185,EMERGENCE,19,81,88,3,28
161,MATINALE,40,42,76,65,12
161,MATINALE,46,31,37,41,68
301,AKWABA,11,65,4,46,42
301,AKWABA,82,47,88,80,71
180,ETOILE,57,79,6,50,52
180,ETOILE,59,34,48,32,27
161,REVEIL,49,68,11,23,77
161,REVEIL,40,9,66,1,55
300,KADO,81,37,40,2,6
300,KADO,19,65,70,33,82
180,MID,21,80,37,59,61
180,BARAKA,70,10,63,60,3
179,BARAKA,49,62,7,87,3
179,FORTUNE,89,90,57,67,41
948,FORTUNE,66,22,7,54,44
161,LUCKY,54,59,22,72,21
161,LUCKY,7,24,81,34,46
709,SIKA,3,73,85,63,54
709,LUCKY,22,7,36,52,14
751,EMERGENCE,19,43,85,36,30
751,SOLUTION,58,24,87,60,39
161,SOLUTION,46,31,37,41,68
751,CASH,82,16,47,52,68
301,CASH,82,47,88,80,71
301,MONNI,67,63,58,31,19
301,MONNI,33,18,27,4,22
181,PRIVILEGE,5,87,27,88,31
181,PRIVILEGE,16,33,46,9,22
161,KADO,29,14,33,25,81
161,KADO,84,90,37,8,63
301,MID,25,57,2,49,50
301,BARAKA,10,43,29,15,88
179,MID,49,62,7,87,3
179,BARAKA,89,90,57,67,41
948,BARAKA,66,22,7,54,44
161,FORTUNE,54,59,22,72,21
949,FORTUNE,30,64,13,62,78
162,PREMIERE,10,41,45,27,26
162,PREMIERE,70,59,11,15,16
710,SIKA,1,25,71,88,86
710,SIKA,43,27,48,39,9
181,EMERGENCE,43,44,78,83,90
181,EMERGENCE,52,55,42,38,87
162,MATINALE,66,23,39,42,10
162,AKWABA,16,58,85,61,74
302,AKWABA,1,66,89,48,46
302,ETOILE,79,81,15,41,64
181,ETOILE,82,54,43,55,77
162,REVEIL,79,80,69,11,35
162,REVEIL,62,39,41,90,87
301,PRESTIGE,86,7,21,40,84
301,PRESTIGE,87,51,22,52,4
181,BENEDICTION,83,54,23,19,55
181,BENEDICTION,65,90,43,41,58
229,BENEDICTION,23,67,19,78,55
229,BENEDICTION,9,16,41,12,65
181,BARAKA,60,22,48,54,69
181,BARAKA,24,77,62,10,79
181,FORTUNE,60,22,48,54,69
181,FORTUNE,24,77,62,10,79
164,PREMIERE,78,8,62,86,5
164,PREMIERE,26,30,46,39,12
712,PREMIERE,36,10,49,76,2
712,SIKA,15,60,13,64,87
183,LUCKY,87,61,19,49,29
183,EMERGENCE,58,66,65,86,76
183,SIKA,87,61,19,49,29
164,MATINALE,77,31,41,59,17
754,SOUTRA,54,78,6,83,1
304,SOUTRA,37,16,44,75,81
164,BONANZA,12,70,58,79,10
183,WARI,74,26,80,9,77
181,WARI,80,32,59,62,50
181,SOLUTION,13,24,74,67,65
723,SOLUTION,47,8,32,12,77
161,CASH,22,14,77,58,60
161,CASH,34,68,1,19,47
301,MONNI,33,18,27,4,22
301,MONNI,67,63,58,31,19
181,PRIVILEGE,16,33,46,9,22
181,KADO,5,87,27,88,31
161,KADO,84,90,37,8,63
161,MID,29,14,33,25,81
301,BARAKA,10,43,29,15,88
